accelerometer	 104.0Hz
cycle sample index,accel X,accel Y,accel Z
0,0.107,0.315,1.007
1,0.067,0.312,1.021
2,0.034,0.470,1.012
3,-0.170,0.219,0.999
4,0.196,-0.218,0.996
5,0.966,-0.267,1.008
6,0.793,-0.450,1.026
7,-0.561,-0.445,0.995
8,-0.423,0.340,1.005
9,0.026,0.240,1.004
10,0.155,0.106,0.999
11,0.084,0.237,0.996
12,0.004,0.286,1.012
13,0.381,0.128,1.083
14,0.434,-0.327,0.989
15,-0.556,-0.447,0.978
16,-0.195,-0.191,1.005
17,0.209,-0.158,1.010
18,0.131,-0.996,1.015
19,0.237,-0.773,1.011
20,-0.061,-0.273,0.998
21,-1.025,0.074,0.966
22,-1.484,0.353,0.981
23,-0.698,0.523,1.006
24,0.565,0.300,1.024
25,0.013,0.055,1.005
26,-0.071,-0.174,0.993
27,0.043,-0.412,0.991
28,0.017,-0.407,1.004
29,-0.217,-0.443,1.038
30,-0.806,0.191,1.021
31,-0.390,0.821,0.985
32,0.279,0.722,0.993
33,0.022,0.195,1.011
34,0.087,0.378,1.023
35,0.006,0.426,1.013
36,-0.154,0.192,1.000
37,0.271,-0.250,1.000
38,0.959,-0.258,1.010
39,0.671,-0.426,1.025
40,-0.660,-0.357,0.996
41,-0.300,0.228,1.005
42,0.072,0.153,1.004
43,0.122,0.113,0.999
44,-0.006,0.347,0.995
45,-0.074,0.529,1.014
46,0.450,0.244,1.081
47,0.514,-0.435,0.991
48,-0.394,-0.627,0.985
49,-0.197,-0.267,1.005
50,0.179,-0.392,1.010
51,0.067,-1.010,1.012
52,0.204,-0.634,1.010
53,-0.252,-0.136,0.996
54,-1.219,0.128,0.966
55,-1.453,0.366,0.981
56,-0.572,0.702,1.009
57,0.430,0.483,1.015
58,0.133,0.087,1.008
59,0.030,-0.138,0.999
60,0.142,-0.420,0.996
61,0.130,-0.599,1.011
62,-0.200,-0.675,1.047
63,-0.716,0.394,1.010
64,-0.368,0.754,0.982
65,0.156,0.712,0.998
66,0.142,0.414,1.016
67,0.110,0.483,1.017
68,-0.117,0.307,1.012
69,-0.124,0.079,0.996
70,0.575,-0.310,1.006
71,1.110,-0.362,1.020
72,0.307,-0.631,1.017
73,-0.714,-0.118,0.997
74,-0.143,0.330,1.006
75,0.092,0.262,1.003
76,0.098,0.160,0.996
77,-0.051,0.417,1.000
78,0.065,0.506,1.032
79,0.687,-0.106,1.064
80,0.229,-0.526,0.981
81,-0.505,-0.607,0.993
82,-0.092,-0.332,1.006
83,0.067,-0.816,1.013
84,0.176,-0.876,1.013
85,0.142,-0.366,1.008
86,-0.720,0.149,0.986
87,-1.575,0.405,0.961
88,-1.279,0.685,0.988
