gyroscope	 104.0Hz
cycle sample index,gyro X,gyro Y,gyro Z
0,-1.421,0.559,-21.622
1,-1.282,1.188,-68.618
2,4.054,0.909,-164.801
3,6.221,1.654,-281.860
4,5.243,2.493,-373.569
5,4.054,2.447,-364.948
6,0.909,1.491,-249.566
7,1.794,1.048,-111.258
8,3.984,0.885,-39.936
9,0.816,0.140,-48.814
10,1.887,0.140,-118.807
11,4.334,-0.233,-241.481
12,4.660,-0.839,-366.253
13,4.474,0.746,-406.632
14,5.196,2.050,-288.221
15,-0.513,1.445,-115.894
16,0.583,-0.047,-13.654
17,1.654,-0.373,-15.728
18,-1.188,1.048,-96.951
19,1.981,1.398,-235.237
20,3.099,1.911,-364.715
21,5.103,1.934,-407.727
22,5.545,1.911,-327.365
23,4.194,1.165,-174.470
24,-0.326,0.047,-52.984
25,0.070,-0.023,-22.391
26,0.350,0.350,-74.350
27,1.328,1.841,-189.289
28,3.029,4.147,-316.088
29,6.105,4.846,-392.535
30,2.796,2.167,-342.137
31,5.103,-0.280,-180.855
32,3.518,-0.722,-53.637
33,-2.447,0.909,-22.834
34,0.070,0.955,-76.308
35,4.450,0.909,-174.983
36,6.338,1.678,-288.105
37,5.079,2.516,-372.311
38,4.031,2.330,-352.506
39,0.979,1.351,-234.188
40,2.260,1.002,-101.052
41,3.006,0.676,-37.816
42,0.979,0.210,-55.151
43,2.703,0.256,-134.674
44,4.846,-0.443,-258.816
45,4.194,-1.142,-373.895
46,4.124,0.816,-390.694
47,4.800,2.097,-259.725
48,-0.536,1.351,-101.798
49,0.652,-0.023,-21.273
50,0.676,0.000,-37.956
51,-0.256,1.072,-128.546
52,2.586,1.351,-255.671
53,3.518,1.817,-361.802
54,5.056,1.841,-378.555
55,5.429,1.678,-288.174
56,4.777,1.188,-154.269
57,0.047,0.000,-57.248
58,-1.072,-0.233,-50.048
59,0.350,0.536,-113.331
60,1.212,2.260,-220.022
61,4.101,4.567,-327.971
62,5.965,4.241,-374.221
63,3.262,0.885,-298.543
64,4.707,-0.792,-148.561
65,2.353,-0.489,-47.882
66,-0.955,0.629,-39.913
67,0.443,1.118,-108.764
68,3.961,1.491,-214.989
69,6.314,1.981,-319.327
70,4.474,2.610,-376.202
71,2.773,2.027,-320.492
72,0.326,1.165,-184.676
73,3.542,1.142,-69.550
74,2.586,0.606,-44.806
75,1.678,0.256,-82.855
76,3.542,0.070,-183.348
77,5.056,-0.909,-310.915
78,3.891,-0.792,-395.774
79,5.010,1.748,-352.203
80,3.262,1.515,-191.340
81,-1.538,1.118,-60.627
82,0.979,-0.163,-23.836
83,-0.210,0.466,-68.735
84,1.701,0.909,-177.593
85,2.470,1.538,-300.617
86,4.846,1.794,-377.064
87,5.965,1.771,-346.960
88,5.848,1.188,-239.501
89,1.911,0.256,-112.935
90,-2.703,-0.606,-49.489
91,-0.373,0.140,-70.203
92,0.979,1.351,-149.563
93,2.237,3.448,-258.257
94,5.382,4.940,-348.312
95,4.194,3.379,-357.981
96,2.843,0.722,-239.920
97,6.291,-1.235,-101.285
98,-0.140,0.303,-39.750
99,-1.934,1.305,-62.654
100,2.353,1.235,-143.575
101,6.268,1.398,-247.865
102,6.058,2.144,-341.485
103,4.590,2.516,-366.509
104,1.887,1.631,-279.250
105,0.792,0.909,-142.246
106,3.542,0.932,-49.093
107,1.118,0.326,-46.647
108,2.423,0.443,-110.302
109,4.753,0.000,-224.915
110,4.194,-1.235,-345.982
111,3.821,-0.210,-393.747
112,4.054,2.586,-303.483
113,1.654,1.701,-143.575
114,-0.210,0.536,-39.004
115,1.282,-0.233,-30.942
116,0.140,0.676,-101.635
117,2.214,1.142,-217.016
118,2.819,1.654,-327.482
119,5.243,1.794,-374.361
120,5.872,1.678,-312.872
121,5.196,1.025,-196.838
122,1.212,0.117,-81.783
123,-1.724,-0.466,-47.788
124,-0.140,0.163,-93.946
125,0.699,1.654,-196.372
126,3.635,4.217,-308.818
127,6.501,4.753,-374.012
128,3.262,1.841,-329.252
129,5.079,-1.025,-185.515
130,3.169,-0.816,-64.611
131,-0.746,0.373,-32.573
132,-0.117,0.932,-84.672
133,2.377,1.468,-186.983
134,6.244,1.794,-295.980
135,5.079,2.516,-371.961
136,3.868,2.260,-347.706
137,0.419,1.235,-223.494
138,1.724,0.885,-90.031
139,3.146,0.816,-41.544
140,1.351,0.419,-73.698
141,3.612,0.536,-164.987
142,4.683,-0.489,-289.036
143,3.938,-0.839,-385.615
144,4.427,1.328,-371.332
145,1.678,3.192,-227.175
146,0.746,1.142,-83.065
147,0.722,0.047,-24.815
148,0.652,0.210,-55.710
149,2.120,0.722,-152.289
150,2.679,1.445,-276.594
151,4.171,1.817,-368.373
152,5.708,1.841,-364.109
153,6.384,1.515,-267.810
154,4.078,0.722,-137.214
155,-1.561,-0.466,-51.749
156,-1.072,-0.280,-59.881
157,0.280,0.652,-132.554
158,1.561,2.679,-242.949
159,5.429,4.730,-345.819
160,5.266,3.658,-370.656
161,3.938,-0.047,-271.934
162,4.567,-1.095,-127.614
163,1.515,-0.373,-38.981
164,-0.885,0.583,-37.863
165,0.350,1.165,-116.011
166,3.821,1.678,-230.297
167,6.291,2.120,-338.130
168,4.567,2.679,-384.194
169,2.097,1.887,-309.401
170,0.186,1.048,-165.523
171,4.008,1.165,-57.994
172,1.678,0.466,-47.812
173,2.120,0.466,-99.864
174,4.357,0.163,-202.500
175,3.775,-0.932,-323.544
176,3.891,-0.233,-389.623
177,4.264,2.516,-323.917
178,1.398,2.400,-168.436
179,-0.047,0.769,-52.635
180,0.932,-0.070,-28.799
181,0.932,0.373,-82.785
182,2.586,0.909,-195.301
183,2.633,1.631,-315.156
184,5.149,1.817,-377.670
185,5.662,1.748,-331.582
186,5.825,1.235,-216.108
187,1.911,0.256,-88.866
188,-1.957,-0.559,-43.152
189,-0.070,0.023,-78.591
190,0.350,1.188,-174.633
191,3.309,3.705,-290.481
192,6.244,4.730,-370.214
193,3.565,2.516,-345.656
194,5.476,-1.235,-211.844
195,3.448,-0.979,-79.896
196,-0.536,0.186,-25.840
197,-1.095,0.909,-63.679
198,2.050,1.212,-161.819
199,5.569,1.678,-275.243
200,5.569,2.353,-361.430
201,4.450,2.423,-360.404
202,1.258,1.328,-252.292
203,0.186,0.629,-115.265
204,3.448,0.885,-38.398
205,0.489,0.280,-51.190
206,2.819,0.699,-132.274
207,5.126,0.163,-256.929
208,3.938,-0.792,-371.379
209,4.241,0.559,-394.539
210,2.889,3.099,-272.890
211,-0.093,1.957,-106.667
212,0.769,0.047,-17.591
213,0.909,-0.023,-32.387
214,1.561,0.699,-118.201
215,3.379,1.212,-242.623
216,3.122,1.887,-352.459
217,5.429,1.911,-383.425
218,5.452,1.701,-304.112
219,5.243,1.165,-166.152
220,0.722,0.000,-52.658
221,-0.140,-0.256,-42.266
222,0.023,-0.070,-103.219
223,-0.093,1.328,-218.740
224,5.359,4.008,-336.988
225,6.454,4.147,-388.085
226,3.029,1.025,-316.717
227,5.010,-1.631,-170.300
