magnetometer	  80.0Hz
cycle sample index,magn X,magn Y,magn Z
0,28.729,-1.302,-1.088
1,25.737,-0.414,-2.303
2,26.300,-0.519,-1.558
3,28.598,-2.233,-0.286
4,28.935,-4.313,-0.249
5,28.954,-3.811,-0.289
6,28.297,-1.629,-0.374
7,26.153,-0.418,-0.833
8,25.943,-0.400,-0.967
9,28.362,-1.957,-0.357
10,28.594,-4.556,-0.351
11,28.814,-4.145,-0.334
12,28.276,-1.629,-0.161
13,25.604,-0.383,0.244
14,25.496,-0.383,-0.188
15,28.245,-1.875,-0.521
16,28.416,-4.442,-0.615
17,28.358,-4.524,-0.595
18,28.418,-2.345,-0.548
19,26.588,-0.648,-1.489
20,26.050,-0.486,-1.297
21,28.089,-1.847,-0.510
22,28.451,-4.290,-0.434
23,28.535,-4.157,-0.442
24,28.250,-1.954,-0.693
25,26.347,-0.531,-1.956
26,25.875,-0.437,-1.947
27,28.037,-1.531,-0.528
28,29.015,-3.864,-0.247
29,28.891,-4.199,-0.283
30,28.699,-2.242,-0.272
31,26.852,-0.605,-0.692
32,25.774,-0.388,-1.178
33,27.857,-1.370,-0.629
34,28.750,-4.063,-0.339
35,28.671,-4.521,-0.366
36,28.760,-2.364,-0.212
37,26.796,-0.556,0.153
38,25.805,-0.390,-0.018
39,27.848,-1.377,-0.576
40,28.641,-3.757,-0.473
41,28.425,-4.428,-0.611
42,28.577,-2.705,-0.487
43,27.212,-0.949,-1.210
44,26.361,-0.568,-1.101
45,27.862,-1.506,-0.466
46,28.622,-3.780,-0.344
47,28.556,-4.180,-0.413
48,28.477,-2.258,-0.521
49,26.738,-0.666,-1.749
50,25.926,-0.458,-2.068
51,27.808,-1.323,-0.666
52,29.078,-3.607,-0.226
53,28.935,-4.243,-0.247
54,28.804,-2.420,-0.248
55,27.088,-0.680,-0.575
56,25.838,-0.390,-1.075
57,27.715,-1.253,-0.625
58,28.783,-3.909,-0.346
59,28.624,-4.573,-0.355
60,28.846,-2.567,-0.221
61,27.060,-0.664,0.152
62,25.831,-0.390,0.110
63,27.708,-1.220,-0.618
64,28.736,-3.546,-0.493
65,28.451,-4.418,-0.643
66,28.608,-2.918,-0.465
67,27.446,-1.113,-0.982
68,26.462,-0.584,-1.025
69,27.712,-1.384,-0.565
70,28.605,-3.539,-0.385
71,28.552,-4.189,-0.458
72,28.540,-2.483,-0.497
73,26.974,-0.795,-1.674
74,25.971,-0.447,-2.091
75,27.565,-1.127,-0.783
76,29.010,-3.343,-0.243
77,28.909,-4.325,-0.265
78,28.893,-2.733,-0.251
79,27.366,-0.844,-0.544
80,25.863,-0.395,-1.231
81,27.453,-1.068,-0.871
82,28.746,-3.558,-0.353
83,28.542,-4.666,-0.396
84,28.935,-2.941,-0.276
85,27.444,-0.872,0.026
86,26.011,-0.381,0.130
87,27.467,-1.017,-0.528
88,28.736,-3.214,-0.444
89,28.482,-4.344,-0.622
