temperature	   1.0Hz
cycle sample index,temp
0,15.740
1,15.780
2,15.780
3,15.800
4,15.830
5,15.820
6,15.830
7,15.830
8,15.830
9,15.820
10,15.840
11,15.860
12,15.850
13,15.870
14,15.850
15,15.880
16,15.870
17,15.870
18,15.890
19,15.870
20,15.870
21,15.900
22,15.880
23,15.880
24,15.890
25,15.890
26,15.880
27,15.900
28,15.880
29,15.890
30,15.890
31,15.910
32,15.900
33,15.920
34,15.890
35,15.890
36,15.910
37,15.910
38,15.890
39,15.880
40,15.920
41,15.910
42,15.910
43,15.890
44,15.920
45,15.920
46,15.920
47,15.920
48,15.920
49,15.910
50,15.920
51,15.930
52,15.920
53,15.930
54,15.920
55,15.930
56,15.920
57,15.930
58,15.940
59,15.930
60,15.930
61,15.950
62,15.940
63,15.940
64,15.950
65,15.940
66,15.950
67,15.960
68,15.960
69,15.950
70,15.960
71,15.960
72,15.960
73,15.950
74,15.960
75,15.990
76,15.970
77,15.960
78,15.970
79,15.970
80,15.990
81,15.990
82,15.990
83,15.990
84,16.020
85,16.010
86,16.010
87,15.990
88,15.990
89,16.010
90,15.990
91,16.010
92,16.020
93,16.000
94,16.020
95,15.990
96,16.020
97,16.030
98,16.030
99,16.010
100,16.030
101,16.010
102,16.020
103,16.030
104,16.050
105,16.030
106,16.030
107,16.030
108,16.040
109,16.040
110,16.050
111,16.030
112,16.060
113,16.060
114,16.050
115,16.060
116,16.050
117,16.060
118,16.070
119,16.070
120,16.060
121,16.050
122,16.070
123,16.070
124,16.070
125,16.070
126,16.060
127,16.080
128,16.090
129,16.100
130,16.090
131,16.090
132,16.090
133,16.110
134,16.110
135,16.100
136,16.080
137,16.120
138,16.110
139,16.110
140,16.100
141,16.130
142,16.090
143,16.110
144,16.130
145,16.130
146,16.150
147,16.130
148,16.140
149,16.150
150,16.120
151,16.130
152,16.140
153,16.150
154,16.150
155,16.140
156,16.140
157,16.130
158,16.160
159,16.160
160,16.170
161,16.140
162,16.160
163,16.170
164,16.170
165,16.170
166,16.160
167,16.170
168,16.180
169,16.190
170,16.170
171,16.190
172,16.170
173,16.200
174,16.170
175,16.190
176,16.180
177,16.200
178,16.170
179,16.200
